danceability (bin);key;track_id (song_features.csv);acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;mode;speechiness;tempo;valence
0.96;5;0TFVOjSvPTjFHkiZZekK5k;0,0301;0,964;218261;0,555;0,000567;0,128;-6,245;0;0,0499;130,017;0,338
0.87;6;0ITqOOwNtw5DP2GLYAlTQx;0,00176;0,885;251057;0,559;0;0,0973;-7,085;1;0,322;76,472;0,565
0.75;9;7aK0LpCyxzN5K9pAP20MVC;0,0696;0,772;220326;0,643;0;0,0902;-8,629;0;0,422;96,03;0,429
0.81;1;0P1O6JO2i19etVxXqgPHpa;0,00905;0,827;272153;0,642;1,5e-06;0,0865;-4,29;0;0,242;145,004;0,181
0.63;10;5nFyaoBWwwMJ9fv33tZ2MB;0,0537;0,633;219520;0,793;0;0,16;-4,126;1;0,055;103,97;0,414
0.72;0;0oFqlgK2LJ9eMlpGBCmRvf;0,0728;0,748;230013;0,849;0;0,351;-3,24;1;0,14;93,994;0,621
0.78;3;74gguwbBvfBTurNJUWFOsC;0,587;0,799;217846;0,743;0;0,287;-6,062;0;0,041;121,99;0,669
0.63;5;5537GkcZu99NDs1gH9iCOY;0,277;0,647;218760;0,616;0;0,0816;-4,948;1;0,0272;93,019;0,79
0.60;8;3zIG0WuI5RoJsFYnErkFDU;0,116;0,62;227413;0,778;0;0,312;-4,622;0;0,0724;147,012;0,386
0.66;1;43cFjTTCD9Cni4aSL0sORz;0,302;0,687;193094;0,587;0;0,278;-5,772;0;0,124;156,575;0,676
0.96;11;7jpdFaZYgx93A67hLe8kwc;0,0511;0,968;263721;0,59;0;0,0792;-7,826;1;0,259;129,983;0,265
0.45;10;1YmF9PvLhIISIANoMLIYGq;0,224;0,469;233061;0,78;0;0,13;-6,49;0;0,122;125,999;0,444
0.78;9;7ef4DlsgrMEH11cDZd32M6;0,037;0,791;214847;0,862;2,19e-05;0,0814;-3,24;0;0,11;123,994;0,592
0.96;11;2qcG0nZ6S3zZV0UrkY5nFo;0,0511;0,968;262308;0,589;0;0,0731;-7,808;1;0,255;129,993;0,268
0.81;6;2Yl4OmDby9iitgNWZPwxkd;0,0256;0,82;210787;0,568;0;0,0952;-8,23;0;0,411;152,279;0,535
0.78;1;7p2ewixAShLpjDZrnzZK7c;0,0977;0,806;231453;0,57;0;0,105;-6,927;1;0,246;93,015;0,454
0.87;7;1f5PNhkNgUpvDEeZfcIlO1;0,27;0,886;200205;0,473;2,58e-05;0,0864;-7,338;0;0,255;135,065;0,438
0.72;6;5PTG6rrL6EPFD9E2QMI2pl;0,121;0,733;142000;0,678;0;0,344;-7,771;1;0,438;175,985;0,841
0.81;5;58q2HKrzhC3ozto2nDdN4z;0,099;0,816;253390;0,726;0;0,372;-3,998;0;0,129;136,048;0,65
0.90;11;6KBYefIoo7KydImq1uUQlL;0,0659;0,926;223713;0,703;0;0,231;-6,337;0;0,103;125,022;0,485
0.90;1;0dIoGTQXDh1wVnhIiSyYEa;0,00111;0,908;224285;0,524;0,000678;0,383;-7,955;1;0,181;138,015;0,109
0.87;7;17Yq72h0p15OhCbZ5lJ5gd;0,154;0,884;181624;0,814;1,67e-06;0,158;-5,333;1;0,303;155,938;0,907
0.60;9;00B7TZ0Xawar6NZ00JFomN;0,287;0,62;284856;0,625;0;0,314;-7,438;1;0,553;167,911;0,665
0.90;1;0dSIrRkA4PadGll16TgbnV;0,0149;0,921;191252;0,467;0,000238;0,334;-8,443;1;0,119;135,995;0,287
